=== RQ3: complexity detection (ground truth: actual_sp >= 8) ===

Total tickets evaluated: 80
Confusion counts: {'true_positive': 22, 'false_positive': 22, 'false_negative': 8, 'true_negative': 28}
Precision: 0.50
Recall:    0.73
F1:        0.59

=== Subtask point reconciliation (44 decomposed tickets) ===
Mean gap (subtask sum - top-level estimate): 1.70
   issue_key  predicted_story_points  subtask_points_sum  gap                                                                                                                                                                                                                                                                       subtask_titles
     DM-8498                      13                  19    6                                                                                                  Stakeholder alignment meeting | Gather author-written subsections | Define uniform formatting and content guidelines | Draft unified section templates | Review and iterative edits
    DM-11126                       5                   5    0                                                          Define required MariaDB container image specifications | Integrate configuration management into k8s deployment | Validate compatibility with Qserv master/worker setup | Document changes in release notes and config docs
    DM-12078                       5                   5    0                                                                                                                                                                   Thread death detection implementation | Event-driven thread cleanup system | Integration with device health events
 TIMOB-27685                       5                   5    0                                                                                                                                    Implement Gradle dependency configuration | Update Hyperloop source to use Gradle instead of Ant | Support optional dependencies via repositories
    DM-23576                      13                  13    0                                                                                                                                                                                    Create gen3 ci_lsst pipetask | Write test data generation script | Run and validate data products
     DM-3462                       8                   8    0                                                            Implement Raw Data Ingestion in DecamMapper | Update Registry Handling for Raw Images | Enhance Unit Tests for Raw Data Path | Integrate wtmap and dqmask Support for Raw | Refactor Documentation and Usage Instructions
   MULE-7003                       8                  10    2                                                                                                                                                   Design batch processing API | Implement record-level data handling | Integrate with Mule runtime | Add error handling and recovery
    DM-12703                      13                  18    5                                                            Research bootstrapping techniques | Design integration points with current fitting routines | Implement test cases for boresight incorporation | Validate against historical data sets | Prepare documentation and report
    DM-15972                      13                  17    4                                                                                                                                                      Schedule Coordination | Resource Allocation | Preventive Task Planning | Risk & Contingency Measures | Documentation & Handoffs
   MDL-17081                      13                  13    0                                                                                Design new import/export schema for role permissions | Implement serialization/deserialization logic for role permissions in core | Develop admin UI for importing/exporting role permission settings
 TIMOB-20272                       8                   8    0                                                                                                     Implement localnotificationaction event handling in background | Support remotenotificationaction for iOS activation mode | Ensure JS listener is initialized before event fires
     DM-3875                      13                  13    0                                                                                                                                        Design interface for new WCS classes | Migrate existing DM code to use new WCS system | Unit and integration tests for new WCS implementation
    DM-10086                       8                  15    7                                                                                   Identify all XYTransform usages | Refactor legacy transform calls to new AST-backed implementation | Update dependent subsystems (e.g., WCS, formatters) | Test replacements and validate behavior
     DM-3469                      13                  18    5                           Define SUI system requirements and use cases | NCSA server setup and SUI installation | Firefly packaging and initial community release preparation | Integration testing between SUI and Firefly | End-to-end system validation and handoff documentation
