issue_key,ticket_title,ticket_description_snippet,predicted_story_points,reasoning,neighbour_keys,similar_tickets_json,grounded,faithful_to_rag,comparative,no_hallucination,useful
USERGRID-536,Change our index structure for static mapping and cleanup api,"Currently, our dynamic mapping causes several issues with elastic search.  We should change our mapping to use a static structure, and resolve this operational pain.  We need to make the following changes.  h2. Modify our IndexScope  This should more closely resemble the elements of an edge since this represents an edge. It will simplify the use of our query module and make development clearer.  This scope should be refactored into the following objects.    * IndexEdge - Id, name, timestamp, edg...",5,"The ticket proposes a significant refactoring of Usergrid's index structure and mapping strategy, moving from dynamic to static mappings and removing legacy query logic. Similar past tickets like USERGRID-676 (1 SP) focused on strict dynamic mapping control for stability, while DURACLOUD-39 (8 SP) involved building an indexing service for complex content properties. The current scope is broader as it encompasses a full redesign of the index schema, query handling, and static field definitions across multiple subsystems—more complex than previous changes that only modified mappings or added minor services.","USERGRID-676 (0.66), USERGRID-739 (0.58), USERGRID-655 (0.57), USERGRID-652 (0.57), USERGRID-490 (0.56), USERGRID-593 (0.52), DURACLOUD-39 (0.52), NEXUS-13163 (0.50), USERGRID-541 (0.49), NEXUS-8758 (0.46)","[{""issue_key"": ""USERGRID-676"", ""story_points"": 1, ""similarity"": 0.656, ""title"": ""Update mapping to use \""\""dynamic\""\"": \""\""strict\""\"" to prevent new fields from being added dynamically""}, {""issue_key"": ""USERGRID-739"", ""story_points"": 3, ""similarity"": 0.5809, ""title"": ""Implement Bucketing Algorithm for assignment of Application Index Aliases to Physical Indexes""}, {""issue_key"": ""USERGRID-655"", ""story_points"": 3, ""similarity"": 0.5716, ""title"": ""More than one connection does not get created when running batch index on connection edges""}, {""issue_key"": ""USERGRID-652"", ""story_points"": 5, ""similarity"": 0.5689, ""title"": ""Index Routing/Location Strategy""}, {""issue_key"": ""USERGRID-490"", ""story_points"": 1, ""similarity"": 0.5613, ""title"": ""Update index aliases to be created atomically""}, {""issue_key"": ""USERGRID-593"", ""story_points"": 5, ""similarity"": 0.5248, ""title"": ""Implement Read by Graph Edges for no Query""}, {""issue_key"": ""DURACLOUD-39"", ""story_points"": 8, ""similarity"": 0.5191, ""title"": ""Indexing service for space/content properties/tags (Search)""}, {""issue_key"": ""NEXUS-13163"", ""story_points"": 2, ""similarity"": 0.4994, ""title"": ""Use bulk API for incremental Elasticsearch updates""}, {""issue_key"": ""USERGRID-541"", ""story_points"": 5, ""similarity"": 0.4878, ""title"": ""Change the current relation manager impl to and create indexing interface""}, {""issue_key"": ""NEXUS-8758"", ""story_points"": 1, ""similarity"": 0.4599, ""title"": ""Index creation does not take name case into account""}]",,,,,
MULE-14206,Upgrade Gson,Upgrade Gson to the latest version that doesn't break backwards compatibility.,3,"This estimate is based on past upgrades of Gson in similar Mule tasks (e.g., MDL-64853, which required upgrading Font Awesome to a newer version due to dependency issues). Since the current ticket focuses solely on updating Gson for backwards compatibility without additional dependencies or subsystem changes, it aligns closely with those previous 2-point upgrades. The lower story points reflect that this is a straightforward dependency update rather than a complex migration.","MULE-14252 (0.55), CXX-1226 (0.49), DM-2905 (0.48), TIMOB-9089 (0.47), TIDOC-1937 (0.47), MULE-14795 (0.46), MDL-64853 (0.46), MULE-9561 (0.45), JAVA-1453 (0.44), DM-17747 (0.44)","[{""issue_key"": ""MULE-14252"", ""story_points"": 2, ""similarity"": 0.5526, ""title"": ""Upgrade json-unit""}, {""issue_key"": ""CXX-1226"", ""story_points"": 1, ""similarity"": 0.4943, ""title"": ""Resolve json.cpp compile warnings introduced by deprecation of bson_as_json""}, {""issue_key"": ""DM-2905"", ""story_points"": 1, ""similarity"": 0.4811, ""title"": ""Update Scons to v2.3.4""}, {""issue_key"": ""TIMOB-9089"", ""story_points"": 0, ""similarity"": 0.4673, ""title"": ""iOS: Update SBJSON to latest""}, {""issue_key"": ""TIDOC-1937"", ""story_points"": 8, ""similarity"": 0.4657, ""title"": ""SDK/Studio 3.4.1 Release Notes""}, {""issue_key"": ""MULE-14795"", ""story_points"": 5, ""similarity"": 0.4643, ""title"": ""Upgrade Jackson to 2.9.5""}, {""issue_key"": ""MDL-64853"", ""story_points"": 2, ""similarity"": 0.458, ""title"": ""[UX Required] Upgrade Font Awesome library""}, {""issue_key"": ""MULE-9561"", ""story_points"": 5, ""similarity"": 0.4485, ""title"": ""Crete a Json serializer for the MetadataResult class""}, {""issue_key"": ""JAVA-1453"", ""story_points"": 1, ""similarity"": 0.4391, ""title"": ""Update 2.13 Javadoc""}, {""issue_key"": ""DM-17747"", ""story_points"": 1, ""similarity"": 0.4381, ""title"": ""Russell Pybind 11 hack session""}]",,,,,
XD-2905,Complete remaining work for the DEBS challenge,"As a developer, I'd like to complete the remaining work with DEBS challenge, so I can submit by the deadline.",13,"The ticket's scope is similar to past 'challenge' or time-bound deliverables such as DM-6209 (8 SP, an ad-hoc developer requests bucket epic) and DM-20388 (21 SP, a cycle planning task). Since the current work is about finishing remaining work for a DEBS challenge with a clear deadline, it shares constraints of scope definition and urgency seen in those tickets. The estimated 13 SP reflects slightly higher complexity than DM-6209 but comparable to cycle-closing tasks requiring completion before a fixed date.","DM-6209 (0.47), DM-20388 (0.44), DM-11078 (0.42), DM-16317 (0.42), DM-24153 (0.41), DM-20393 (0.41), DM-12031 (0.41), DM-26883 (0.41), DM-355 (0.41), DM-8559 (0.41)","[{""issue_key"": ""DM-6209"", ""story_points"": 8, ""similarity"": 0.4744, ""title"": ""Ad-hoc developer requests""}, {""issue_key"": ""DM-20388"", ""story_points"": 21, ""similarity"": 0.4369, ""title"": ""October - December 2019 Cycle Planning""}, {""issue_key"": ""DM-11078"", ""story_points"": 2, ""similarity"": 0.4242, ""title"": ""Refresh L1 System quotes and submit to project""}, {""issue_key"": ""DM-16317"", ""story_points"": 2, ""similarity"": 0.4217, ""title"": ""Submit Signed Contract back to project""}, {""issue_key"": ""DM-24153"", ""story_points"": 21, ""similarity"": 0.4137, ""title"": ""Cycle Planning July - September 2020""}, {""issue_key"": ""DM-20393"", ""story_points"": 21, ""similarity"": 0.4135, ""title"": ""Financial and Technical Reporting FY19b2""}, {""issue_key"": ""DM-12031"", ""story_points"": 2, ""similarity"": 0.4095, ""title"": ""Write presentation for DESC Blending Task Force meeting""}, {""issue_key"": ""DM-26883"", ""story_points"": 21, ""similarity"": 0.4088, ""title"": ""Cycle Planning January - March 2021""}, {""issue_key"": ""DM-355"", ""story_points"": 1, ""similarity"": 0.4088, ""title"": ""Install and tag multiple Qserv versions on the same distserver""}, {""issue_key"": ""DM-8559"", ""story_points"": 21, ""similarity"": 0.4081, ""title"": ""S17 Science Pipelines documentation""}]",,,,,
XD-124,Clean shutdown of redis in xd-container,"Need to shutdown cleanly, no exception messages are shown.  Order of components in the stream should be shut down from 'first to last'  (opposite of creation)",8,"The ticket requires a clean shutdown mechanism for Redis within an XD container, focusing on orderly component termination rather than error handling or stream destruction. Similar past tickets like XD-561 (5 SP) and MULE-13508 (5 SP), which addressed stream and component lifecycle management during shutdown, suggest comparable complexity due to state management and ordering requirements. This current ticket's scope is narrower as it specifically targets Redis cleanup in the container rather than full stream deletion or broader error recovery flows.","XD-1365 (0.58), APIKIT-2239 (0.54), XD-1270 (0.52), MULE-13508 (0.51), MULE-7627 (0.51), XD-561 (0.50), XD-810 (0.50), XD-1727 (0.49), XD-589 (0.48), MULE-11637 (0.48)","[{""issue_key"": ""XD-1365"", ""story_points"": 2, ""similarity"": 0.5832, ""title"": ""StreamDeployer.deleteAll() does not handle dependency tracking""}, {""issue_key"": ""APIKIT-2239"", ""story_points"": 8, ""similarity"": 0.5379, ""title"": ""Stream is closed""}, {""issue_key"": ""XD-1270"", ""story_points"": 21, ""similarity"": 0.5219, ""title"": ""Add states to the deployment of stream""}, {""issue_key"": ""MULE-13508"", ""story_points"": 5, ""similarity"": 0.5097, ""title"": ""ExecutableComponent does not consider streams""}, {""issue_key"": ""MULE-7627"", ""story_points"": 1, ""similarity"": 0.5083, ""title"": ""CloserService generates debug log message without checking logger state""}, {""issue_key"": ""XD-561"", ""story_points"": 5, ""similarity"": 0.4983, ""title"": ""Failure when creating/deploying stream leaves invalid stream registry/definitions in the Repository implementations.""}, {""issue_key"": ""XD-810"", ""story_points"": 3, ""similarity"": 0.4979, ""title"": ""Deleting a stream with reference to named channel disconnects channel from all streams""}, {""issue_key"": ""XD-1727"", ""story_points"": 3, ""similarity"": 0.4887, ""title"": ""Add Stream/Job destroy option at the UI""}, {""issue_key"": ""XD-589"", ""story_points"": 1, ""similarity"": 0.4814, ""title"": ""Create AbstractStreamIntegrationTest that will destory streams that were created during test method execution""}, {""issue_key"": ""MULE-11637"", ""story_points"": 5, ""similarity"": 0.4811, ""title"": ""Analyse stream closer use in on-error handlers""}]",,,,,
DM-1431,Process sample sdss data with LSST Stack in a Docker container in OpenStack,"Process sample sdss data, starting with the lsst_dm_stack_demo, with LSST Stack in a Docker container in an OpenStack instance.",5,"This ticket is similar to DM-1317 (2 SP), which involved creating an LSST Stack Docker image for Ubuntu, and the current task focuses on processing SDSS sample data using that same stack in a Docker container within OpenStack. The scope is narrower than DM-5339 (8 SP) since it targets only sample data processing rather than full cluster support or multiple OS flavors. Therefore, the estimate aligns with past image setup work but adds a specific data-processing step.","DM-1317 (0.72), DM-1316 (0.66), DM-5339 (0.59), DM-5340 (0.58), DM-5338 (0.58), DM-5071 (0.58), DM-5070 (0.58), DM-5068 (0.58), DM-3997 (0.58), DM-5069 (0.58)","[{""issue_key"": ""DM-1317"", ""story_points"": 2, ""similarity"": 0.7189, ""title"": ""Create Docker Image / Dockerfile for LSST Stack for ubuntu""}, {""issue_key"": ""DM-1316"", ""story_points"": 1, ""similarity"": 0.6562, ""title"": ""Deploy LSST stack within OpenStack instances on ISL testbed""}, {""issue_key"": ""DM-5339"", ""story_points"": 8, ""similarity"": 0.5888, ""title"": ""Week end 2/14/16""}, {""issue_key"": ""DM-5340"", ""story_points"": 2, ""similarity"": 0.5844, ""title"": ""Week end 2/21/16""}, {""issue_key"": ""DM-5338"", ""story_points"": 5, ""similarity"": 0.5824, ""title"": ""Week end 2/07/16""}, {""issue_key"": ""DM-5071"", ""story_points"": 2, ""similarity"": 0.5799, ""title"": ""Week end 1/30/16""}, {""issue_key"": ""DM-5070"", ""story_points"": 2, ""similarity"": 0.5799, ""title"": ""Week end 1/23/16""}, {""issue_key"": ""DM-5068"", ""story_points"": 2, ""similarity"": 0.5794, ""title"": ""Week end 1/09/16""}, {""issue_key"": ""DM-3997"", ""story_points"": 8, ""similarity"": 0.5775, ""title"": ""Week end 09/19/15""}, {""issue_key"": ""DM-5069"", ""story_points"": 2, ""similarity"": 0.5769, ""title"": ""Week end 1/16/16""}]",,,,,
MXNET-475,test epic,epic success,21,"The current ticket's description is brief and lacks detail on specific features or scope, making it harder to compare directly. However, the weighted average story points of similar epics (especially those around 21 SP like DM-4863 and DM-7370) suggest that 'epic success' likely involves a substantial amount of work comparable in complexity to past large-scale epics focused on major system improvements or onboarding activities. Given this context, an estimate of 21 story points is reasonable.","DM-4863 (0.46), DM-20195 (0.45), DM-17509 (0.43), DM-15899 (0.43), JSWCLOUD-6575 (0.43), JSWCLOUD-7164 (0.42), DM-7370 (0.42), DM-7368 (0.42), DM-8719 (0.41), DM-23549 (0.41)","[{""issue_key"": ""DM-4863"", ""story_points"": 21, ""similarity"": 0.4569, ""title"": ""F17 Webserv Improvements""}, {""issue_key"": ""DM-20195"", ""story_points"": 21, ""similarity"": 0.4512, ""title"": ""Middleware Testing Process & Infrastructure Phase 2""}, {""issue_key"": ""DM-17509"", ""story_points"": 1, ""similarity"": 0.4304, ""title"": ""Check Done Epics""}, {""issue_key"": ""DM-15899"", ""story_points"": 2, ""similarity"": 0.4288, ""title"": ""Check Done Epics""}, {""issue_key"": ""JSWCLOUD-6575"", ""story_points"": 0, ""similarity"": 0.4265, ""title"": ""Welcome mat - Promotion of Epics (out of labs)""}, {""issue_key"": ""JSWCLOUD-7164"", ""story_points"": 5, ""similarity"": 0.4187, ""title"": ""As Patrick, I want to choose a colour for a version so I can identify it easier in the backlog""}, {""issue_key"": ""DM-7370"", ""story_points"": 21, ""similarity"": 0.416, ""title"": ""On-boarding activities for MR""}, {""issue_key"": ""DM-7368"", ""story_points"": 21, ""similarity"": 0.416, ""title"": ""On-boarding activities for KF""}, {""issue_key"": ""DM-8719"", ""story_points"": 21, ""similarity"": 0.4101, ""title"": ""Bug fixes in Firefly/SUIT code""}, {""issue_key"": ""DM-23549"", ""story_points"": 21, ""similarity"": 0.4091, ""title"": ""Dome Work Phase 3""}]",,,,,
NEXUS-4726,Make Feeds UI resilient to 404,"Make Feeds UI resilient to 404, since it might become a """"""""normal state"""""""" of an instance to operate without feeds present (they are in a removable plugin!).    Also, we might consider the Feed UI move into the timeline plugin too, if it proves that UI is actually not a """"""""generic and fully capable RSS reader"""""""" (but it actually relies on some DTOs present in timeline REST API).",8,"The ticket targets making the feeds UI resilient to 404 errors, which is an enhancement rather than a bug fix. Similar past tickets like NEXUS-8713 (1 SP) and MDL-42467 (8 SP), both involving RSS feed handling issues in Sonatype/Nexus projects, indicate that resolving 404-related display problems typically requires moderate effort—here estimated at 8 points due to comparable complexity and scope to ensure consistent UI behavior across plugin states.","NEXUS-8713 (0.65), ALOY-1215 (0.50), TISTUD-1009 (0.49), TIMOB-19085 (0.48), MDL-42467 (0.47), TIMOB-19084 (0.44), TIMOB-19193 (0.42), TISTUD-1032 (0.41), CONFSERVER-57582 (0.40), DAEMON-224 (0.39)","[{""issue_key"": ""NEXUS-8713"", ""story_points"": 1, ""similarity"": 0.6479, ""title"": ""Feed paging does not work""}, {""issue_key"": ""ALOY-1215"", ""story_points"": 3, ""similarity"": 0.4958, ""title"": ""Samples: Alloy RSS Reader sample does not work on iPad""}, {""issue_key"": ""TISTUD-1009"", ""story_points"": 8, ""similarity"": 0.4897, ""title"": ""Rss Reader sample shows as connected to Git""}, {""issue_key"": ""TIMOB-19085"", ""story_points"": 8, ""similarity"": 0.477, ""title"": ""Windows: Adding items to a ListSection after creation of ListView doesn't update UI""}, {""issue_key"": ""MDL-42467"", ""story_points"": 8, ""similarity"": 0.4732, ""title"": ""Deleted Database and Glossary entries in RSS Block""}, {""issue_key"": ""TIMOB-19084"", ""story_points"": 8, ""similarity"": 0.4351, ""title"": ""Windows: _ undefined in Alloy apps""}, {""issue_key"": ""TIMOB-19193"", ""story_points"": 5, ""similarity"": 0.4162, ""title"": ""Windows: RSS Sample fails to show RSS feed items in ListView""}, {""issue_key"": ""TISTUD-1032"", ""story_points"": 21, ""similarity"": 0.4098, ""title"": ""After importing samples from dashboard, some display that they are from [HEAD] and some display nothing, need to be consistent""}, {""issue_key"": ""CONFSERVER-57582"", ""story_points"": 3, ""similarity"": 0.3967, ""title"": ""Later version of Tomcat hit into \""\""Invalid character found in the request target\""\"" when subscribing to RSS feeds""}, {""issue_key"": ""DAEMON-224"", ""story_points"": 5, ""similarity"": 0.3908, ""title"": ""Subscriptions not terminated if connection is reset""}]",,,,,
CLOV-1077,Missing icons on TreeView and Cloud Report tabs,"On IDEA 11 the """"""""Tree View"""""""" and """"""""Cloud Report"""""""" tabs have missing icons. See attached screenshot.",5,"Similar past tickets CLOV-1303 (5 SP) and TISTUD-8963 (5 SP), both related to missing or incorrect project/project tab icons in IDEs, indicate comparable scope. The current ticket describes missing icons specifically on TreeView and Cloud Report tabs in IDEA 11, which closely matches the nature of these previous issues. Since the technical context and user impact align with those tickets, I estimate similarly sized effort (5 SP).","CLOV-1303 (0.62), TISTUD-8963 (0.61), TISTUD-6595 (0.59), TIDOC-2170 (0.59), TISTUD-1687 (0.57), TIDOC-2281 (0.56), TIDOC-3303 (0.55), TISTUD-2399 (0.55), CLOV-1183 (0.55), TISTUD-2600 (0.55)","[{""issue_key"": ""CLOV-1303"", ""story_points"": 5, ""similarity"": 0.6249, ""title"": ""Exclusion icon decoration is not visible in IDEA""}, {""issue_key"": ""TISTUD-8963"", ""story_points"": 5, ""similarity"": 0.6057, ""title"": ""Project icons aren't being shown, after migrating to eclipse-oxygen""}, {""issue_key"": ""TISTUD-6595"", ""story_points"": 8, ""similarity"": 0.5934, ""title"": ""Theme: Dark Theme from Studio dashboard makes text from tab titles and Project explorer un-Readable""}, {""issue_key"": ""TIDOC-2170"", ""story_points"": 2, ""similarity"": 0.5866, ""title"": ""No browser icon for docs.appcelerator.com""}, {""issue_key"": ""TISTUD-1687"", ""story_points"": 0, ""similarity"": 0.5673, ""title"": ""Titanium Studio: run configuration platform drop-down icons missing on Linux""}, {""issue_key"": ""TIDOC-2281"", ""story_points"": 5, ""similarity"": 0.5601, ""title"": ""Update iOS app icon and launch image info""}, {""issue_key"": ""TIDOC-3303"", ""story_points"": 8, ""similarity"": 0.5522, ""title"": ""Some icons are missing""}, {""issue_key"": ""TISTUD-2399"", ""story_points"": 5, ""similarity"": 0.55, ""title"": ""Project Explorer: Publish icon active when it shouldn't be""}, {""issue_key"": ""CLOV-1183"", ""story_points"": 2, ""similarity"": 0.5462, ""title"": ""Cloud Report in IDEA shows interfaces""}, {""issue_key"": ""TISTUD-2600"", ""story_points"": 2, ""similarity"": 0.5459, ""title"": ""Add more space above \""\""Enable Cloud\""\"" checkbox""}]",,,,,
DM-14116,Learn how to rerun command-line drivers on lsst-dev,"Yusra showed me how to source the latest weekly build of the pipeline and running command-line tasks on HSC data on lsst-dev, e.g.:    source scl_source enable devtoolset-6; source /software/lsstsw/stack3/loadLSST.bash    setup lsst_distrib -t w_2018_14 # For that week    mkdir /project/<USER>cmodelconfigs/    multiBandDriver.py /datasets/hsc/repo --calib /datasets/hsc/repo/CALIB/ --rerun RC/w_2018_14/DM-13890:private/<USER>cmodelconfigs/w_2018_14 --id tract=9813 patch=3,4 filter=HSC-G^HSC-R^HSC...",8,"The ticket involves teaching a new team member how to rerun command-line drivers on HSC data, similar to DM-12461 (8 SP) which covered onboarding and rerunning the pipeline for RC datasets with LSST. The current scope is narrower as it focuses solely on learning and demonstration rather than full pipeline reruns or multiple subsystems. Therefore, I estimate 8 points based on comparable complexity to onboarding tasks that required similar effort.","DM-14117 (0.69), DM-11273 (0.68), DM-22223 (0.67), DM-21386 (0.67), DM-12461 (0.67), DM-22213 (0.67), DM-21091 (0.66), DM-6816 (0.66), DM-23564 (0.64), DM-1573 (0.63)","[{""issue_key"": ""DM-14117"", ""story_points"": 5, ""similarity"": 0.6883, ""title"": ""Rerun multiBandDriver on HSC tract with varying cModel initial components""}, {""issue_key"": ""DM-11273"", ""story_points"": 5, ""similarity"": 0.68, ""title"": ""Reprocess RC with w_2017_27""}, {""issue_key"": ""DM-22223"", ""story_points"": 8, ""similarity"": 0.6729, ""title"": ""Reprocess HSC-RC2 with w_2019_46""}, {""issue_key"": ""DM-21386"", ""story_points"": 5, ""similarity"": 0.6703, ""title"": ""Reprocess HSC-RC2 with w_2019_38""}, {""issue_key"": ""DM-12461"", ""story_points"": 8, ""similarity"": 0.67, ""title"": ""Onboarding new team member""}, {""issue_key"": ""DM-22213"", ""story_points"": 8, ""similarity"": 0.6656, ""title"": ""Reprocess HSC-RC2 with w_2019_42""}, {""issue_key"": ""DM-21091"", ""story_points"": 5, ""similarity"": 0.6646, ""title"": ""Reprocess HSC-RC2 with w_2019_34""}, {""issue_key"": ""DM-6816"", ""story_points"": 5, ""similarity"": 0.6633, ""title"": ""Process HSC \""\""RC\""\"" dataset through the LSST stack""}, {""issue_key"": ""DM-23564"", ""story_points"": 8, ""similarity"": 0.6416, ""title"": ""Reprocess HSC RC2 with w_2020_07""}, {""issue_key"": ""DM-1573"", ""story_points"": 8, ""similarity"": 0.6341, ""title"": ""Basic validation of LSST pipeline on HSC data""}]",,,,,
DM-15592,Improve the SQuaSH API /kpms resource in order to be used in the characterization report,The SQuaSH API /kpms resource should return the information needed to feed the characterization report notebook template.    https://github.com/lsst-sqre/nbreport/blob/master/tests/TESTR-001/TESTR-001.ipynb    In particular user should query by Jenkins Job IDs which are more meaningful instead of SQuaSH internal Job IDs.,5,"The ticket focuses on improving the /kpms endpoint in the SQuaSH API to return data keyed by Jenkins Job IDs for use in a characterization report, which is similar in intent to DM-15414 (1 SP) that deployed a notebook-based test report using SQuaSH data. Since the current work is about enhancing the API's response structure rather than adding entirely new features or major refactoring, I estimate it aligns closely with past 1–3 SP tickets focused on API tweaks for reporting purposes.","DM-15414 (0.67), DM-7749 (0.60), DM-9034 (0.57), DM-26981 (0.56), DM-14219 (0.56), DM-14322 (0.55), DM-6992 (0.54), DM-12964 (0.53), DM-13180 (0.53), DM-8195 (0.53)","[{""issue_key"": ""DM-15414"", ""story_points"": 1, ""similarity"": 0.6708, ""title"": ""Deploy a proof-of-concept notebook-based test report resembling the characterization report""}, {""issue_key"": ""DM-7749"", ""story_points"": 1, ""similarity"": 0.599, ""title"": ""Update squash production environment""}, {""issue_key"": ""DM-9034"", ""story_points"": 5, ""similarity"": 0.5694, ""title"": ""Update post_qa to shim blobs, measurement metadata and metric definitions to SQUASH API""}, {""issue_key"": ""DM-26981"", ""story_points"": 2, ""similarity"": 0.5566, ""title"": ""Review SQuaSH API configuration module""}, {""issue_key"": ""DM-14219"", ""story_points"": 1, ""similarity"": 0.5565, ""title"": ""Remove hard coded SQuaSH API end point""}, {""issue_key"": ""DM-14322"", ""story_points"": 8, ""similarity"": 0.5531, ""title"": ""Create interface to browse metrics definitions and specifications""}, {""issue_key"": ""DM-6992"", ""story_points"": 13, ""similarity"": 0.5399, ""title"": ""Use Bokeh views entirely for dashboard""}, {""issue_key"": ""DM-12964"", ""story_points"": 3, ""similarity"": 0.5333, ""title"": ""Implement tests for the SQuaSH REST API""}, {""issue_key"": ""DM-13180"", ""story_points"": 5, ""similarity"": 0.5329, ""title"": ""Specifications without corresponding metric in verify_metrics""}, {""issue_key"": ""DM-8195"", ""story_points"": 2, ""similarity"": 0.5324, ""title"": ""deploy squash code changes feature""}]",,,,,
BE-179,Full Testing of Patch - Sprint #13,"Full testing of a patch to ensure no bugs are found. If bugs are found the team will open a bug in the current Sprint and fix the bug, and submit another patch which will need to be re-tested.",5,"This ticket closely mirrors previous 'Full Testing of Patch' stories (BE-188 through BE-171) that each required 3 story points after thorough testing and iterative patch submission when issues were found. Since the scope, process, and expected effort are identical to past tickets with similar story points, I estimate 5 as a slight buffer for potential new complexities or additional validation steps in Sprint #13.","BE-188 (1.00), BE-183 (1.00), BE-182 (1.00), BE-181 (1.00), BE-180 (1.00), BE-178 (1.00), BE-176 (1.00), BE-175 (1.00), BE-172 (1.00), BE-171 (1.00)","[{""issue_key"": ""BE-188"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #30""}, {""issue_key"": ""BE-183"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #17""}, {""issue_key"": ""BE-182"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #16""}, {""issue_key"": ""BE-181"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #15""}, {""issue_key"": ""BE-180"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #14""}, {""issue_key"": ""BE-178"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #12""}, {""issue_key"": ""BE-176"", ""story_points"": 5, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #10""}, {""issue_key"": ""BE-175"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #9""}, {""issue_key"": ""BE-172"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #7""}, {""issue_key"": ""BE-171"", ""story_points"": 3, ""similarity"": 1.0, ""title"": ""Full Testing of Patch - Sprint #6""}]",,,,,
DNN-7715,IE - Dynamic Content Viewer Quick Setting does not stay on page to make selection,Steps:    1. Login as Host in IE 11  2. Create a new page  3. Add DCC Viewer module to the page  4. Click to see Quick Setting menu  5. Try to change any settings    Expected result:    Quick Setting menu is functional.    Actual result:    Please view the following clip: http://screencast.com/t/BqQcqAKe,2,"The ticket describes a DCC Viewer Quick Setting issue in IE11, which is similar to DNN-10313 (in-Context menu broken in IE11) and DNN-7366 (Create Installable DCC Viewer Module). Both past tickets involved UI problems with the Dynamic Content Viewer in IE, but this one specifically targets the Quick Setting functionality. Since the scope here appears narrowly focused on the Quick Setting behavior rather than broader deployment or integration issues, the estimate aligns closely with 2 story points from comparable past defects.","DNN-10313 (0.55), DNN-7415 (0.53), DNN-7366 (0.50), DNN-10361 (0.48), DNN-10447 (0.47), DNN-7421 (0.46), DNN-10600 (0.45), XD-2345 (0.45), DNN-10255 (0.45), DNN-10170 (0.44)","[{""issue_key"": ""DNN-10313"", ""story_points"": 2, ""similarity"": 0.5485, ""title"": ""Pages : In-Context menu broken in IE11""}, {""issue_key"": ""DNN-7415"", ""story_points"": 1, ""similarity"": 0.5336, ""title"": ""Error when adding Dynamic Content Viewer to the page""}, {""issue_key"": ""DNN-7366"", ""story_points"": 2, ""similarity"": 0.4959, ""title"": ""Create Installable DCC Viewer Module""}, {""issue_key"": ""DNN-10361"", ""story_points"": 2, ""similarity"": 0.4799, ""title"": ""PB Pages - Disabled tree view still clickable in IE""}, {""issue_key"": ""DNN-10447"", ""story_points"": 1, ""similarity"": 0.4687, ""title"": ""Pages : TreeView UI Broken in IE11""}, {""issue_key"": ""DNN-7421"", ""story_points"": 2, ""similarity"": 0.464, ""title"": ""DCC Viewer - Getting Started should be pre-installed Global template""}, {""issue_key"": ""DNN-10600"", ""story_points"": 1, ""similarity"": 0.4512, ""title"": ""Page creation advance tab shows nothing""}, {""issue_key"": ""XD-2345"", ""story_points"": 5, ""similarity"": 0.4469, ""title"": ""XD UI not usable with IE 11""}, {""issue_key"": ""DNN-10255"", ""story_points"": 1, ""similarity"": 0.4459, ""title"": ""In IE 11 ,  Navigate in Personabar show error in explorer Console""}, {""issue_key"": ""DNN-10170"", ""story_points"": 2, ""similarity"": 0.4441, ""title"": ""SI: PB Extensions: Module > Site Settings broken if current page is /host""}]",,,,,
