issue_key,ticket_title,ticket_description,subtask_title,subtask_reasoning,label
MULE-6417,/ by zero in ComponentStatistics,"Recently I have been querying JMX statistics periodically via the MXBean interface (domain=Mule.*, type=org.mule.Statistics). After collecting statistics for each MBean, I reset the bean by invoking """"""""clearStatistics"""""""" with no arguments, so that I can come back and collect fresh statistics later.    Howeven, when I do this while mule is under load, I see that the ComponentStatistics class starts to throw an exception on a divide-by-zero error. It tends to happen on multiple processor threads, and it seems to be a persistent issue - i.e. it throws the error every few seconds until I restart mule. I am uncertain if a message is trapped in limbo due to the repeated exception, but I think it may be as the message seems to repeat over and over again.    ERROR org.mule.exception.DefaultMessagingExceptionStrategy - Caught exception in Exception Strategy: / by zero  java.lang.ArithmeticException: / by zero          at org.mule.management.stats.ComponentStatistics.addExecutionBranchTime(ComponentStatistics.java:163)          at org.mule.management.stats.FlowConstructStatistics.addFlowExecutionBranchTime(FlowConstructStatistics.java:110)          at org.mule.management.stats.ProcessingTime.addFlowExecutionBranchTime(ProcessingTime.java:95)          at org.mule.interceptor.ProcessingTimeInterceptor.last(ProcessingTimeInterceptor.java:53)          at org.mule.interceptor.AbstractEnvelopeInterceptor.process(AbstractEnvelopeInterceptor.java:61)          at org.mule.processor.AsyncInterceptingMessageProcessor.processNextTimed(AsyncInterceptingMessageProcessor.java:111)          at org.mule.processor.AsyncInterceptingMessageProcessor$AsyncMessageProcessorWorker.doRun(AsyncInterceptingMessageProcessor.java:158)          at org.mule.work.AbstractMuleEventWork.run(AbstractMuleEventWork.java:43)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$CallerRunsPolicy.rejectedExecution(ThreadPoolExecutor.java:1746)          at java.util.concurrent.ThreadPoolExecutor.reject(ThreadPoolExecutor.java:767)          at java.util.concurrent.ThreadPoolExecutor.execute(ThreadPoolExecutor.java:658)          at org.mule.work.ScheduleWorkExecutor.doExecute(ScheduleWorkExecutor.java:41)          at org.mule.work.MuleWorkManager.executeWork(MuleWorkManager.java:250)          at org.mule.work.MuleWorkManager.scheduleWork(MuleWorkManager.java:218)          at org.mule.processor.SedaStageInterceptingMessageProcessor.run(SedaStageInterceptingMessageProcessor.java:233)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)          at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)          at java.lang.Thread.run(Thread.java:662)",Propose fix for preventing arithmetic exceptions,"Suggest changes to ComponentStatistics or statistics collection strategy to avoid division by zero, inspired by fixes needed in MULE-13353 (migrating exception payload handling).",inferred
MULE-6417,/ by zero in ComponentStatistics,"Recently I have been querying JMX statistics periodically via the MXBean interface (domain=Mule.*, type=org.mule.Statistics). After collecting statistics for each MBean, I reset the bean by invoking """"""""clearStatistics"""""""" with no arguments, so that I can come back and collect fresh statistics later.    Howeven, when I do this while mule is under load, I see that the ComponentStatistics class starts to throw an exception on a divide-by-zero error. It tends to happen on multiple processor threads, and it seems to be a persistent issue - i.e. it throws the error every few seconds until I restart mule. I am uncertain if a message is trapped in limbo due to the repeated exception, but I think it may be as the message seems to repeat over and over again.    ERROR org.mule.exception.DefaultMessagingExceptionStrategy - Caught exception in Exception Strategy: / by zero  java.lang.ArithmeticException: / by zero          at org.mule.management.stats.ComponentStatistics.addExecutionBranchTime(ComponentStatistics.java:163)          at org.mule.management.stats.FlowConstructStatistics.addFlowExecutionBranchTime(FlowConstructStatistics.java:110)          at org.mule.management.stats.ProcessingTime.addFlowExecutionBranchTime(ProcessingTime.java:95)          at org.mule.interceptor.ProcessingTimeInterceptor.last(ProcessingTimeInterceptor.java:53)          at org.mule.interceptor.AbstractEnvelopeInterceptor.process(AbstractEnvelopeInterceptor.java:61)          at org.mule.processor.AsyncInterceptingMessageProcessor.processNextTimed(AsyncInterceptingMessageProcessor.java:111)          at org.mule.processor.AsyncInterceptingMessageProcessor$AsyncMessageProcessorWorker.doRun(AsyncInterceptingMessageProcessor.java:158)          at org.mule.work.AbstractMuleEventWork.run(AbstractMuleEventWork.java:43)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$CallerRunsPolicy.rejectedExecution(ThreadPoolExecutor.java:1746)          at java.util.concurrent.ThreadPoolExecutor.reject(ThreadPoolExecutor.java:767)          at java.util.concurrent.ThreadPoolExecutor.execute(ThreadPoolExecutor.java:658)          at org.mule.work.ScheduleWorkExecutor.doExecute(ScheduleWorkExecutor.java:41)          at org.mule.work.MuleWorkManager.executeWork(MuleWorkManager.java:250)          at org.mule.work.MuleWorkManager.scheduleWork(MuleWorkManager.java:218)          at org.mule.processor.SedaStageInterceptingMessageProcessor.run(SedaStageInterceptingMessageProcessor.java:233)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)          at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)          at java.lang.Thread.run(Thread.java:662)",Validate fix with stress testing and regression,"Ensure the proposed solution does not introduce new issues and passes under simulated high-load conditions, akin to how MULE-13254 required careful validation during error-handling refactoring.",inferred
EVG-6568,New patch page loads huge documents containing data not immediately needed by views,"When I go to http://evergreen.spruce.s3-website-us-east-1.amazonaws.com/#/patches?user=<USER> I see that https://evergreen.mongodb.com/json/patches/user/<USER>page=0 is loaded which - currently for me - is a 6 MB json document. Processing this amount of data brings Firefox to its knees, and while Chromium appears to more or less cope it still takes a long time.    The application should intelligently load a sensible amount of data that it requires for presenting the current views instead of trying to load all data it might ever need up front.",Identify required vs optional patch data,Determine which patch metadata is essential for immediate view rendering versus data that can be deferred.,inferred
EVG-6568,New patch page loads huge documents containing data not immediately needed by views,"When I go to http://evergreen.spruce.s3-website-us-east-1.amazonaws.com/#/patches?user=<USER> I see that https://evergreen.mongodb.com/json/patches/user/<USER>page=0 is loaded which - currently for me - is a 6 MB json document. Processing this amount of data brings Firefox to its knees, and while Chromium appears to more or less cope it still takes a long time.    The application should intelligently load a sensible amount of data that it requires for presenting the current views instead of trying to load all data it might ever need up front.",Implement partial JSON loading for views,"Modify the patch page to load only necessary fields instead of full document, reducing initial payload size.",inferred
EVG-6568,New patch page loads huge documents containing data not immediately needed by views,"When I go to http://evergreen.spruce.s3-website-us-east-1.amazonaws.com/#/patches?user=<USER> I see that https://evergreen.mongodb.com/json/patches/user/<USER>page=0 is loaded which - currently for me - is a 6 MB json document. Processing this amount of data brings Firefox to its knees, and while Chromium appears to more or less cope it still takes a long time.    The application should intelligently load a sensible amount of data that it requires for presenting the current views instead of trying to load all data it might ever need up front.",Optimize API calls to reduce response size,,inferred
DM-8365,deprecate pex_logging,"With the implementation of RFC-203, {{pex_logging}} is no longer used within {{pipe_tasks}}.  Please check if there are project-supported codes that still use pex_logging and need to be ported, update documentations if necessary, and formally deprecate {{pex_logging}}.",Audit usage of pex_logging in all project-supported codes,"Like DM-7643, this step ensures no active usages remain that require migration, similar to the missed migrations identified in DM-7741.",grounded
DM-8365,deprecate pex_logging,"With the implementation of RFC-203, {{pex_logging}} is no longer used within {{pipe_tasks}}.  Please check if there are project-supported codes that still use pex_logging and need to be ported, update documentations if necessary, and formally deprecate {{pex_logging}}.",Update documentation for deprecation and migration path,parallels DM-5866 which tested log replacement in science pipeline tasks; documentation is critical for smooth transition.,grounded
DM-8365,deprecate pex_logging,"With the implementation of RFC-203, {{pex_logging}} is no longer used within {{pipe_tasks}}.  Please check if there are project-supported codes that still use pex_logging and need to be ported, update documentations if necessary, and formally deprecate {{pex_logging}}.",Formalize deprecation of pex_logging in project guidelines,"Similar to the formal actions required after RFC-203 implementation, as implied by the ticket description.",inferred
DM-8365,deprecate pex_logging,"With the implementation of RFC-203, {{pex_logging}} is no longer used within {{pipe_tasks}}.  Please check if there are project-supported codes that still use pex_logging and need to be ported, update documentations if necessary, and formally deprecate {{pex_logging}}.",Verify log output redirection (stdout instead of stderr),,inferred
DM-12782,travissync pull on el7-4 hung,The pull of the {{travissync}} image under the {{travissync}} job has been in progress on {{el7-4}} for over 16mins while it is typically under 1min.    There are multiple hung {{docker-gc}} (the nightly cleanup script) on that node:          Looking at the {{dmesg}} on that node shows xfs errors from dockerd,Analyze dmesg and system logs for XFS/dockerd errors,Identify if the XFS or dockerd errors are causing the pull hang.,inferred
DM-12782,travissync pull on el7-4 hung,The pull of the {{travissync}} image under the {{travissync}} job has been in progress on {{el7-4}} for over 16mins while it is typically under 1min.    There are multiple hung {{docker-gc}} (the nightly cleanup script) on that node:          Looking at the {{dmesg}} on that node shows xfs errors from dockerd,Check docker daemon and container health on el7-4,Verify if the travissync image is corrupted or inaccessible due to underlying system issues.,inferred
DM-12782,travissync pull on el7-4 hung,The pull of the {{travissync}} image under the {{travissync}} job has been in progress on {{el7-4}} for over 16mins while it is typically under 1min.    There are multiple hung {{docker-gc}} (the nightly cleanup script) on that node:          Looking at the {{dmesg}} on that node shows xfs errors from dockerd,"Inspect node resource utilization (CPU, memory, disk)",Determine if resource exhaustion is contributing to the hang.,inferred
DM-12782,travissync pull on el7-4 hung,The pull of the {{travissync}} image under the {{travissync}} job has been in progress on {{el7-4}} for over 16mins while it is typically under 1min.    There are multiple hung {{docker-gc}} (the nightly cleanup script) on that node:          Looking at the {{dmesg}} on that node shows xfs errors from dockerd,Test travissync pull on a different node,Isolate whether the problem is specific to el7-4 or a broader node configuration issue.,inferred
DM-3488,Debug problem with large results set,Query returning 2 billion rows causes problems for czar - czar is using nearly 16 GB or memory. Need to understand why RAM usage in czar is correlated with result size.,Analyze czar's memory usage logs,To identify patterns linking result size to czar's RAM consumption by reviewing detailed logs from similar high-volume scenarios.,inferred
DM-3488,Debug problem with large results set,Query returning 2 billion rows causes problems for czar - czar is using nearly 16 GB or memory. Need to understand why RAM usage in czar is correlated with result size.,Replicate the problematic query on a test environment,"To isolate whether the issue is due to query design, qserv configuration, or external factors, mirroring DM-3495's approach of testing large result handling.",inferred
DM-3488,Debug problem with large results set,Query returning 2 billion rows causes problems for czar - czar is using nearly 16 GB or memory. Need to understand why RAM usage in czar is correlated with result size.,Profile memory consumption during query execution,"To pinpoint where memory usage spikes occur (e.g., buffer allocation in workers vs. czar), informed by DM-10566's analysis of qserv memory behavior.",inferred
DM-3488,Debug problem with large results set,Query returning 2 billion rows causes problems for czar - czar is using nearly 16 GB or memory. Need to understand why RAM usage in czar is correlated with result size.,"Evaluate alternative memory management options (jemalloc, etc.)","Inspired by DM-10971, assess if code changes can reduce czar's RAM footprint for large results as a potential fix.",inferred
DM-3488,Debug problem with large results set,Query returning 2 billion rows causes problems for czar - czar is using nearly 16 GB or memory. Need to understand why RAM usage in czar is correlated with result size.,Collate findings into root cause report,,inferred
MULE-10945,Populate Layout information for Transactional Action parameters,"*Populate Layout information for Transactional Action parameters*    * The {{Transactional Action}} parameter is injected when using a {{Transactional Connection}}, due that is injected by the SDK and not defined by the extension developer, there is no chance to be able to define a custom layout information.",Research current parameter rendering mechanism,Determine how transactional parameters are currently displayed in the SDK to identify where changes should be made.,inferred
MULE-10945,Populate Layout information for Transactional Action parameters,"*Populate Layout information for Transactional Action parameters*    * The {{Transactional Action}} parameter is injected when using a {{Transactional Connection}}, due that is injected by the SDK and not defined by the extension developer, there is no chance to be able to define a custom layout information.",Design custom layout for Transactional Action parameters,Create a new rendering logic that allows extension developers to define their own parameter layouts.,hallucinated
MULE-10945,Populate Layout information for Transactional Action parameters,"*Populate Layout information for Transactional Action parameters*    * The {{Transactional Action}} parameter is injected when using a {{Transactional Connection}}, due that is injected by the SDK and not defined by the extension developer, there is no chance to be able to define a custom layout information.",Implement UI integration in relevant components,,inferred
DM-13817,Atmopsheric data challenge,We launched today at PCWG telecon a data Challenge on the determination of atmospheric transparency.    The details are in the talks at :    https://confluence.slac.stanford.edu/display/LSSTDESC/PCWG+Meeting+Page     March 15th         The trigger for this challenge is the acknowledgment that T_atmo is difficult to constrain from spectrometry or photometry alone. We wish to explore how to combine informations from both observations.,Define Data Acquisition Strategy,"Outlines how observations will be coordinated across telescopes and data sources, as emphasized in the PCWG meeting materials.",inferred
DM-13817,Atmopsheric data challenge,We launched today at PCWG telecon a data Challenge on the determination of atmospheric transparency.    The details are in the talks at :    https://confluence.slac.stanford.edu/display/LSSTDESC/PCWG+Meeting+Page     March 15th         The trigger for this challenge is the acknowledgment that T_atmo is difficult to constrain from spectrometry or photometry alone. We wish to explore how to combine informations from both observations.,Process Atmospheric Transmission Measurements,"Describes extraction and validation of transparency parameters from collected data, similar to past MERRA-2 processing tasks (e.g., DM-14242).",grounded
DM-13817,Atmopsheric data challenge,We launched today at PCWG telecon a data Challenge on the determination of atmospheric transparency.    The details are in the talks at :    https://confluence.slac.stanford.edu/display/LSSTDESC/PCWG+Meeting+Page     March 15th         The trigger for this challenge is the acknowledgment that T_atmo is difficult to constrain from spectrometry or photometry alone. We wish to explore how to combine informations from both observations.,Integrate Multiple Data Streams,Incorporates combining outputs from spectrometry and photometry as highlighted in the new challenge scope.,inferred
DM-13817,Atmopsheric data challenge,We launched today at PCWG telecon a data Challenge on the determination of atmospheric transparency.    The details are in the talks at :    https://confluence.slac.stanford.edu/display/LSSTDESC/PCWG+Meeting+Page     March 15th         The trigger for this challenge is the acknowledgment that T_atmo is difficult to constrain from spectrometry or photometry alone. We wish to explore how to combine informations from both observations.,Coordinate with PCWG and Stakeholders,"Addresses the telecon coordination and communication aspects introduced here, not covered in previous similar tickets.",inferred
DM-13817,Atmopsheric data challenge,We launched today at PCWG telecon a data Challenge on the determination of atmospheric transparency.    The details are in the talks at :    https://confluence.slac.stanford.edu/display/LSSTDESC/PCWG+Meeting+Page     March 15th         The trigger for this challenge is the acknowledgment that T_atmo is difficult to constrain from spectrometry or photometry alone. We wish to explore how to combine informations from both observations.,Prepare and Present Results,,grounded
USERGRID-536,Change our index structure for static mapping and cleanup api,"Currently, our dynamic mapping causes several issues with elastic search.  We should change our mapping to use a static structure, and resolve this operational pain.  We need to make the following changes.  h2. Modify our IndexScope  This should more closely resemble the elements of an edge since this represents an edge. It will simplify the use of our query module and make development clearer.  This scope should be refactored into the following objects.    * IndexEdge - Id, name, timestamp, edgeType (source or target) * SearchEdge - Id, name, edgeType  Note: edgeType is the type of the Id within the edge.  Does this Id represent a source Id, or does it represent a targetId?  The entity to be indexed will implicitly be the opposite of the type specified.  I.E if it's a source edge, the document is the target.  If it's a target edge, the document is the source.  These values should also be stored within our document, so that we can index our documents.  Note that we perform bidirectional indexing in some cases, such was users, groups etc.  When we do this, we need to ensure that mark the direction of the edge appropriately.  h2. Change default sort ordering  When sorting is unspecified, we should order by timestamp descending from our index edge.  This ensures that we retain the correct edge time semantics, and will properly order collections and connections  h2. Remove the legacy query class  We don't need the Query class, it has far too many functions to be a well encapsulated object.  Instead, we should simply take the string QL, the SearchEdge and the limit to return our candidates.  From there, we should parse and visit the query internally to the query logic, NOT externally.  h2. Create a static mapping  The mapping should contains the following static fields.  * entityId - The entity id * entityType - The entity type (from the id) * entityVersion - The entity version * edgeId - The edge Id * edgeName - The edge name * edgeTimestamp - The edge timestamp * edgeType - source | target * edgeSearch - edgeId + edgeName + edgeType   It will then contain an array of """"""""fields""""""""  Each of these fields will have the following formation.      We will define a field type for each type of field.  Note that each field tuple will always contain a single field and a single value.  Possible field types are the following.  * string - This will be mapped into 2 mapping with multi mappings.  It will be a string unanalyzed, and an analyzed string.  The 2 fields will then be """"""""string_u"""""""" and """"""""string_a"""""""".  The Query visitor will need to update the field name appropriately * long - An unanalyzed long * double - An unanalyzed double * boolean - An unanalyzed boolean * location - A geolocation field * uuid - A UUID stored as an unanalyzed string  The entity path will be a flattened path from the root json element to the max json element.  It can be though of as a path through the tree of json elements.  We will use a dot '.' to delimit the fields.  X.Y.Z for nested objects.  Primitive arrays will contain a field object for each element in the array.  h2. Indexing    When indexing entities, we will no longer modify or prefix field names.  They will be inserted into the value exactly as their path appears after lower case.  h2. Querying    When querying, the """"""""contains"""""""" operation for a string will need to use the """"""""string_a"""""""" data type.  When using =, we will need to use the string_u data type.  Each criteria will need to use nested object querying, to ensure the property name and property value are both part of the same field tuple.   h3. References  Multi Field Mapping: http://www.elastic.co/guide/en/elasticsearch/reference/current/_multi_fields.html Nested Objects: http://www.elastic.co/guide/en/elasticsearch/guide/current/nested-objects.html Nested Object Search: http://www.elastic.co/guide/en/elasticsearch/guide/master/nested-sorting.html",Refactor IndexScope to represent edges,"Modifying the core structure of how indexes represent relationships mirrors past mapping refactoring efforts, but at a higher architectural level.",grounded
USERGRID-536,Change our index structure for static mapping and cleanup api,"Currently, our dynamic mapping causes several issues with elastic search.  We should change our mapping to use a static structure, and resolve this operational pain.  We need to make the following changes.  h2. Modify our IndexScope  This should more closely resemble the elements of an edge since this represents an edge. It will simplify the use of our query module and make development clearer.  This scope should be refactored into the following objects.    * IndexEdge - Id, name, timestamp, edgeType (source or target) * SearchEdge - Id, name, edgeType  Note: edgeType is the type of the Id within the edge.  Does this Id represent a source Id, or does it represent a targetId?  The entity to be indexed will implicitly be the opposite of the type specified.  I.E if it's a source edge, the document is the target.  If it's a target edge, the document is the source.  These values should also be stored within our document, so that we can index our documents.  Note that we perform bidirectional indexing in some cases, such was users, groups etc.  When we do this, we need to ensure that mark the direction of the edge appropriately.  h2. Change default sort ordering  When sorting is unspecified, we should order by timestamp descending from our index edge.  This ensures that we retain the correct edge time semantics, and will properly order collections and connections  h2. Remove the legacy query class  We don't need the Query class, it has far too many functions to be a well encapsulated object.  Instead, we should simply take the string QL, the SearchEdge and the limit to return our candidates.  From there, we should parse and visit the query internally to the query logic, NOT externally.  h2. Create a static mapping  The mapping should contains the following static fields.  * entityId - The entity id * entityType - The entity type (from the id) * entityVersion - The entity version * edgeId - The edge Id * edgeName - The edge name * edgeTimestamp - The edge timestamp * edgeType - source | target * edgeSearch - edgeId + edgeName + edgeType   It will then contain an array of """"""""fields""""""""  Each of these fields will have the following formation.      We will define a field type for each type of field.  Note that each field tuple will always contain a single field and a single value.  Possible field types are the following.  * string - This will be mapped into 2 mapping with multi mappings.  It will be a string unanalyzed, and an analyzed string.  The 2 fields will then be """"""""string_u"""""""" and """"""""string_a"""""""".  The Query visitor will need to update the field name appropriately * long - An unanalyzed long * double - An unanalyzed double * boolean - An unanalyzed boolean * location - A geolocation field * uuid - A UUID stored as an unanalyzed string  The entity path will be a flattened path from the root json element to the max json element.  It can be though of as a path through the tree of json elements.  We will use a dot '.' to delimit the fields.  X.Y.Z for nested objects.  Primitive arrays will contain a field object for each element in the array.  h2. Indexing    When indexing entities, we will no longer modify or prefix field names.  They will be inserted into the value exactly as their path appears after lower case.  h2. Querying    When querying, the """"""""contains"""""""" operation for a string will need to use the """"""""string_a"""""""" data type.  When using =, we will need to use the string_u data type.  Each criteria will need to use nested object querying, to ensure the property name and property value are both part of the same field tuple.   h3. References  Multi Field Mapping: http://www.elastic.co/guide/en/elasticsearch/reference/current/_multi_fields.html Nested Objects: http://www.elastic.co/guide/en/elasticsearch/guide/current/nested-objects.html Nested Object Search: http://www.elastic.co/guide/en/elasticsearch/guide/master/nested-sorting.html",Design new static mappings for entity and edge data,"Creating a fully static mapping requires defining all field types and their structures, similar to USERGRID-676's focus on strict dynamic mapping but with greater complexity due to nested objects and array handling.",grounded
