issue_key,ticket_title,ticket_description,subtask_title,subtask_reasoning,label
TIMOB-23414,iOS: titanium_mobile master is broken,"When I download from http://builds.<USER>com/#master and try to install this OSX build from http://builds.<USER>com/mobile/master/mobilesdk-5.4.0.v20160517164706-osx.zip    or when I <USER>down <USER>titanium_mobile and run scons ( my environment is set up correctly)    in both cases I get:    ti build --platform=iphone  SyntaxError: missing ) after argument list      at exports.runInThisContext (vm.js:53:16)      at Module._compile (module.js:373:25)      at Object.Module._extensions..js (module.js:416:10)      at Module.load (module.js:343:32)      at Function.Module._load (module.js:300:12)      at Module.require (module.js:353:17)      at require (internal/module.js:12:17)      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/titanium-sdk/lib/titanium.js:86:14      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:718:13      at async.forEachOf.async.eachOf (/Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:233:13)  ---------------------------------------------      at Object.run (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:59:8)      at find (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:96:14)      at /usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:945:13      at Immediate.q.<USER>(/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:913:25)      at processImmediate [as _immediateCallback] (timers.js:383:17)  ---------------------------------------------      at Object.setImmediate (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:200:9)      at _insert (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:861:19)      at Object.q.push (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:888:17)      at Object.findExecutable (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:113:8)      at resolveNode (/usr/local/lib/node_modules/titanium/lib/titanium.js:97:34)      at /usr/local/lib/node_modules/titanium/lib/titanium.js:74:5      at Object.<anonymous> (/usr/local/lib/node_modules/titanium/lib/titanium.js:80:2)      at Module._compile (module.js:409:26)      at Object.Module._extensions..js (module.js:416:10)      FYI, Master is currently broken.",Test and verify the fix,This subtask involves testing and verifying the fix to ensure that it resolves the issue.,
TIMOB-23414,iOS: titanium_mobile master is broken,"When I download from http://builds.<USER>com/#master and try to install this OSX build from http://builds.<USER>com/mobile/master/mobilesdk-5.4.0.v20160517164706-osx.zip    or when I <USER>down <USER>titanium_mobile and run scons ( my environment is set up correctly)    in both cases I get:    ti build --platform=iphone  SyntaxError: missing ) after argument list      at exports.runInThisContext (vm.js:53:16)      at Module._compile (module.js:373:25)      at Object.Module._extensions..js (module.js:416:10)      at Module.load (module.js:343:32)      at Function.Module._load (module.js:300:12)      at Module.require (module.js:353:17)      at require (internal/module.js:12:17)      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/titanium-sdk/lib/titanium.js:86:14      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:718:13      at async.forEachOf.async.eachOf (/Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:233:13)  ---------------------------------------------      at Object.run (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:59:8)      at find (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:96:14)      at /usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:945:13      at Immediate.q.<USER>(/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:913:25)      at processImmediate [as _immediateCallback] (timers.js:383:17)  ---------------------------------------------      at Object.setImmediate (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:200:9)      at _insert (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:861:19)      at Object.q.push (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:888:17)      at Object.findExecutable (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:113:8)      at resolveNode (/usr/local/lib/node_modules/titanium/lib/titanium.js:97:34)      at /usr/local/lib/node_modules/titanium/lib/titanium.js:74:5      at Object.<anonymous> (/usr/local/lib/node_modules/titanium/lib/titanium.js:80:2)      at Module._compile (module.js:409:26)      at Object.Module._extensions..js (module.js:416:10)      FYI, Master is currently broken.",Update documentation and release notes,This subtask involves updating the documentation and release notes to reflect the fix.,
DM-27145,Operations boot camp,Attend sessions,Attend sessions,"This subtask is the core of the operations boot camp and requires attending sessions, which is a key part of the ticket.",
DM-27145,Operations boot camp,Attend sessions,Prepare for sessions,"Preparing for sessions is a necessary step before attending, and requires some effort, but is relatively small in scope.",
DM-27145,Operations boot camp,Attend sessions,Follow up on sessions,"Following up on sessions is an important part of the operations boot camp, but is relatively small in scope compared to attending sessions.",
DM-5402,Make cluster deployment scripts more generic and enable ccqserv100...124,These scripts will be improved (i.e. more genericity) and integrated inside Qserv code. Qserv will be deployed on ccqserv100 to ccqserv125,Improve cluster deployment scripts,"This subtask involves improving the genericity of the scripts, which is a key aspect of the current ticket.",
DM-5402,Make cluster deployment scripts more generic and enable ccqserv100...124,These scripts will be improved (i.e. more genericity) and integrated inside Qserv code. Qserv will be deployed on ccqserv100 to ccqserv125,Integrate scripts inside Qserv code,"This subtask involves integrating the improved scripts inside Qserv code, which is a critical part of the current ticket.",
DM-5402,Make cluster deployment scripts more generic and enable ccqserv100...124,These scripts will be improved (i.e. more genericity) and integrated inside Qserv code. Qserv will be deployed on ccqserv100 to ccqserv125,Deploy Qserv on ccqserv100 to ccqserv125,"This subtask involves deploying Qserv on the specified cluster nodes, which is a significant part of the current ticket.",
MESOS-5580,Implement authn/authz for the network/cni isolator,Currently any framework can launch containers on any CNI network irrespective of its role and principal. We need perform authn/authz in the network/cni isolator (or Master) to make sure that only roles/principals specified by the operator can launch containers on a given network.,Implement authn/authz in the network/cni isolator,"This subtask involves implementing the authentication and authorization logic in the network/cni isolator, which is a key component of the overall task.",
MESOS-5580,Implement authn/authz for the network/cni isolator,Currently any framework can launch containers on any CNI network irrespective of its role and principal. We need perform authn/authz in the network/cni isolator (or Master) to make sure that only roles/principals specified by the operator can launch containers on a given network.,Integrate authn/authz with the Master,"This subtask involves integrating the authn/authz logic with the Master, which will enable the operator to specify roles and principals for each CNI network.",
MESOS-5580,Implement authn/authz for the network/cni isolator,Currently any framework can launch containers on any CNI network irrespective of its role and principal. We need perform authn/authz in the network/cni isolator (or Master) to make sure that only roles/principals specified by the operator can launch containers on a given network.,Test authn/authz functionality,This subtask involves testing the authn/authz functionality to ensure that it is working correctly and that only authorized roles and principals can launch containers on a given network.,
TIMOB-25220,Android: ImageView doesn't accept File,"Summary:  In 6.2.0.RC getFile() returns a FileProxy that can't be shown in an ImageView    *Steps:*  * Create a default Titanium Classic project  * add this code:  {code}    var win = Ti.UI.createWindow({backgroundColor: 'grey'});  var f = Ti.Filesystem.getFile(""""""""assets/images/tab1.png"""""""");  if (f.exists()) {   console.log(""""""""file exists"""""""");   var img = Ti.UI.createImageView({    image: f,    top: 10   });   win.add(img);     var img2 = Ti.UI.createImageView({    image: f.nativePath   });   win.add(img2);  } else {   console.log(""""""""file does not exists at """""""" + f.nativePath);  }  win.open();  {code}    *Output*    6.1.2.GA shows both images:   !612_ga_images.png|thumbnail!     6.2.0.RC only shows one image:   !6_2_0_rc_images.png|thumbnail!   and this error:",Investigate the issue in 6.2.0.RC,"This subtask involves reproducing the issue and understanding its root cause, which is a critical step in resolving the bug.",
TIMOB-25220,Android: ImageView doesn't accept File,"Summary:  In 6.2.0.RC getFile() returns a FileProxy that can't be shown in an ImageView    *Steps:*  * Create a default Titanium Classic project  * add this code:  {code}    var win = Ti.UI.createWindow({backgroundColor: 'grey'});  var f = Ti.Filesystem.getFile(""""""""assets/images/tab1.png"""""""");  if (f.exists()) {   console.log(""""""""file exists"""""""");   var img = Ti.UI.createImageView({    image: f,    top: 10   });   win.add(img);     var img2 = Ti.UI.createImageView({    image: f.nativePath   });   win.add(img2);  } else {   console.log(""""""""file does not exists at """""""" + f.nativePath);  }  win.open();  {code}    *Output*    6.1.2.GA shows both images:   !612_ga_images.png|thumbnail!     6.2.0.RC only shows one image:   !6_2_0_rc_images.png|thumbnail!   and this error:",Identify the change that caused the issue,This subtask requires analyzing the changes made in the 6.2.0.RC version of the Titanium SDK to determine what specifically caused the issue with getFile() returning a FileProxy.,
TIMOB-25220,Android: ImageView doesn't accept File,"Summary:  In 6.2.0.RC getFile() returns a FileProxy that can't be shown in an ImageView    *Steps:*  * Create a default Titanium Classic project  * add this code:  {code}    var win = Ti.UI.createWindow({backgroundColor: 'grey'});  var f = Ti.Filesystem.getFile(""""""""assets/images/tab1.png"""""""");  if (f.exists()) {   console.log(""""""""file exists"""""""");   var img = Ti.UI.createImageView({    image: f,    top: 10   });   win.add(img);     var img2 = Ti.UI.createImageView({    image: f.nativePath   });   win.add(img2);  } else {   console.log(""""""""file does not exists at """""""" + f.nativePath);  }  win.open();  {code}    *Output*    6.1.2.GA shows both images:   !612_ga_images.png|thumbnail!     6.2.0.RC only shows one image:   !6_2_0_rc_images.png|thumbnail!   and this error:",Develop a fix for the issue,"This subtask involves implementing a solution to the bug, which may require modifying the getFile() method or adding additional logic to handle FileProxy objects.",
DM-13481,"Refactor and unify CoaddPsf, CoaddBoundedField, and CoaddTransmissionCurve","These components all do similar things but take different approaches to their implementation and public interface, making it hard to share much code between them.   * {{CoaddPsf}} uses an internal {{ExposureCatalog}}, which makes both its persisted and in-memory sizes larger than they need to be, but simplifies its persistence and evaluation code.  {{CoaddBoundedField}} and {{CoaddTransmissionCurve}} (still WIP on DM-12370) use a vector of custom structs to avoid this.   * {{CoaddPsf}} and {{CoaddBoundedField}} have public interfaces that are strongly tied to these implementation choices, while {{CoaddTransmissionCurve's}} implementation is entirely private (even the class itself is hidden behind a factory function).    All three classes should probably use a vector a shared object (not {{ExposureCatalog}}, but also not vectors of custom structs) to consolidate persistence and lookup code.  They should also probably all be hidden behind private factory functions or at least take a consistent approach to this question that does not expose their implementations.",Refactor CoaddPsf to use a vector of shared objects,"This subtask involves changing the internal ExposureCatalog to a vector of shared objects, simplifying persistence and evaluation code.",
DM-13481,"Refactor and unify CoaddPsf, CoaddBoundedField, and CoaddTransmissionCurve","These components all do similar things but take different approaches to their implementation and public interface, making it hard to share much code between them.   * {{CoaddPsf}} uses an internal {{ExposureCatalog}}, which makes both its persisted and in-memory sizes larger than they need to be, but simplifies its persistence and evaluation code.  {{CoaddBoundedField}} and {{CoaddTransmissionCurve}} (still WIP on DM-12370) use a vector of custom structs to avoid this.   * {{CoaddPsf}} and {{CoaddBoundedField}} have public interfaces that are strongly tied to these implementation choices, while {{CoaddTransmissionCurve's}} implementation is entirely private (even the class itself is hidden behind a factory function).    All three classes should probably use a vector a shared object (not {{ExposureCatalog}}, but also not vectors of custom structs) to consolidate persistence and lookup code.  They should also probably all be hidden behind private factory functions or at least take a consistent approach to this question that does not expose their implementations.",Refactor CoaddBoundedField and CoaddTransmissionCurve to use a vector of shared objects,"This subtask involves changing the vector of custom structs to a vector of shared objects, consolidating persistence and lookup code.",
DM-13481,"Refactor and unify CoaddPsf, CoaddBoundedField, and CoaddTransmissionCurve","These components all do similar things but take different approaches to their implementation and public interface, making it hard to share much code between them.   * {{CoaddPsf}} uses an internal {{ExposureCatalog}}, which makes both its persisted and in-memory sizes larger than they need to be, but simplifies its persistence and evaluation code.  {{CoaddBoundedField}} and {{CoaddTransmissionCurve}} (still WIP on DM-12370) use a vector of custom structs to avoid this.   * {{CoaddPsf}} and {{CoaddBoundedField}} have public interfaces that are strongly tied to these implementation choices, while {{CoaddTransmissionCurve's}} implementation is entirely private (even the class itself is hidden behind a factory function).    All three classes should probably use a vector a shared object (not {{ExposureCatalog}}, but also not vectors of custom structs) to consolidate persistence and lookup code.  They should also probably all be hidden behind private factory functions or at least take a consistent approach to this question that does not expose their implementations.","Unify public interfaces of CoaddPsf, CoaddBoundedField, and CoaddTransmissionCurve",This subtask involves creating private factory functions or taking a consistent approach to exposing implementation details.,
MULE-10841,Improve EL API considering feedback,"We need to take into account Achaval's feedback regarding the EL API and make the appropriate modifications. His thoughts:  {quote}  ValidationResult      - Needs to have a list of messages           -  A message has               - severity: Severity (Warning,Error,Info)              - message: String              - location: Location                  - startPosition: Position (line:Int,column:Int,offset:Int)                 - endPosition:Position   Nice to have two factory methods   - createSucessResult   - createErrorResult       Nice to have a factory method with an already existing bindingContext specially to start summing context  BindingContextBuild.builder(bindingContext)    ScriptingException? What type of exception should I throw when it fails the execution.    evaluate(script: String, expectedOutputType: DataType, bindingContext: BindingContext)  For this to work we need to discuss */* what is the menaing of this?? Should it be changed to application/java -- (Pablo K and Pablo LG)  Also need a way to access the mule transformers  {quote}    Seems like we need to:   - provide a better ValidationResult abstraction and a factory (basic factory methods added in (done in MULE-10842))   - provide an exception signature for the evaluate method   - provide a factory method for the binding context considering an existing one (done in MULE-10842)   - handle expectedDataType stuff ourselves (in the ExpressionLanguage instead of the ExpressionExecutor) since we have access to the MuleContext and all transformers (done in MULE-10842)",Improve ValidationResult abstraction,This subtask involves creating a better ValidationResult abstraction and adding factory methods for creating success and error results.,
MULE-10841,Improve EL API considering feedback,"We need to take into account Achaval's feedback regarding the EL API and make the appropriate modifications. His thoughts:  {quote}  ValidationResult      - Needs to have a list of messages           -  A message has               - severity: Severity (Warning,Error,Info)              - message: String              - location: Location                  - startPosition: Position (line:Int,column:Int,offset:Int)                 - endPosition:Position   Nice to have two factory methods   - createSucessResult   - createErrorResult       Nice to have a factory method with an already existing bindingContext specially to start summing context  BindingContextBuild.builder(bindingContext)    ScriptingException? What type of exception should I throw when it fails the execution.    evaluate(script: String, expectedOutputType: DataType, bindingContext: BindingContext)  For this to work we need to discuss */* what is the menaing of this?? Should it be changed to application/java -- (Pablo K and Pablo LG)  Also need a way to access the mule transformers  {quote}    Seems like we need to:   - provide a better ValidationResult abstraction and a factory (basic factory methods added in (done in MULE-10842))   - provide an exception signature for the evaluate method   - provide a factory method for the binding context considering an existing one (done in MULE-10842)   - handle expectedDataType stuff ourselves (in the ExpressionLanguage instead of the ExpressionExecutor) since we have access to the MuleContext and all transformers (done in MULE-10842)",Implement exception handling for evaluate method,This subtask involves providing an exception signature for the evaluate method and handling expectedDataType stuff ourselves in the ExpressionLanguage.,
MULE-10841,Improve EL API considering feedback,"We need to take into account Achaval's feedback regarding the EL API and make the appropriate modifications. His thoughts:  {quote}  ValidationResult      - Needs to have a list of messages           -  A message has               - severity: Severity (Warning,Error,Info)              - message: String              - location: Location                  - startPosition: Position (line:Int,column:Int,offset:Int)                 - endPosition:Position   Nice to have two factory methods   - createSucessResult   - createErrorResult       Nice to have a factory method with an already existing bindingContext specially to start summing context  BindingContextBuild.builder(bindingContext)    ScriptingException? What type of exception should I throw when it fails the execution.    evaluate(script: String, expectedOutputType: DataType, bindingContext: BindingContext)  For this to work we need to discuss */* what is the menaing of this?? Should it be changed to application/java -- (Pablo K and Pablo LG)  Also need a way to access the mule transformers  {quote}    Seems like we need to:   - provide a better ValidationResult abstraction and a factory (basic factory methods added in (done in MULE-10842))   - provide an exception signature for the evaluate method   - provide a factory method for the binding context considering an existing one (done in MULE-10842)   - handle expectedDataType stuff ourselves (in the ExpressionLanguage instead of the ExpressionExecutor) since we have access to the MuleContext and all transformers (done in MULE-10842)",Provide factory method for binding context,This subtask involves creating a factory method for the binding context considering an existing one.,
MULE-10841,Improve EL API considering feedback,"We need to take into account Achaval's feedback regarding the EL API and make the appropriate modifications. His thoughts:  {quote}  ValidationResult      - Needs to have a list of messages           -  A message has               - severity: Severity (Warning,Error,Info)              - message: String              - location: Location                  - startPosition: Position (line:Int,column:Int,offset:Int)                 - endPosition:Position   Nice to have two factory methods   - createSucessResult   - createErrorResult       Nice to have a factory method with an already existing bindingContext specially to start summing context  BindingContextBuild.builder(bindingContext)    ScriptingException? What type of exception should I throw when it fails the execution.    evaluate(script: String, expectedOutputType: DataType, bindingContext: BindingContext)  For this to work we need to discuss */* what is the menaing of this?? Should it be changed to application/java -- (Pablo K and Pablo LG)  Also need a way to access the mule transformers  {quote}    Seems like we need to:   - provide a better ValidationResult abstraction and a factory (basic factory methods added in (done in MULE-10842))   - provide an exception signature for the evaluate method   - provide a factory method for the binding context considering an existing one (done in MULE-10842)   - handle expectedDataType stuff ourselves (in the ExpressionLanguage instead of the ExpressionExecutor) since we have access to the MuleContext and all transformers (done in MULE-10842)",Discuss and implement additional features,"This subtask involves discussing and implementing additional features, such as accessing mule transformers and handling expectedDataType stuff.",
DM-23792,M1M3 Learning,"Learning how M1M3 cell shall operate, difernces from know LBT design. Connect & run simulator.",Connect M1M3 cell simulator,"This subtask involves setting up the simulator and connecting it to the M1M3 cell, which is a critical component of the overall learning process.",
DM-23792,M1M3 Learning,"Learning how M1M3 cell shall operate, difernces from know LBT design. Connect & run simulator.",Run M1M3 cell simulator,"This subtask involves running the simulator and testing its functionality, which is a key aspect of the learning process.",
DM-23792,M1M3 Learning,"Learning how M1M3 cell shall operate, difernces from know LBT design. Connect & run simulator.",Compare M1M3 cell to LBT design,"This subtask involves analyzing the differences between the M1M3 cell and the LBT design, which is an important part of the learning process.",
DM-23792,M1M3 Learning,"Learning how M1M3 cell shall operate, difernces from know LBT design. Connect & run simulator.",Document learning process,"This subtask involves documenting the learning process and any key findings or insights, which is an important aspect of knowledge sharing and retention.",
CLI-842,Improve performance of appc -v command,"When the registry server is not reachable, or slow to respond, then {{appc -v}} command takes a long time to execute, and print package's version. Since it is just about printing the local package version, the availability of registry server shouldn't impact on {{appc -v}} command's performance.",Implement local version caching for appc -v command,"This subtask involves implementing a local cache for the package version, which will improve performance when the registry server is not reachable.",
CLI-842,Improve performance of appc -v command,"When the registry server is not reachable, or slow to respond, then {{appc -v}} command takes a long time to execute, and print package's version. Since it is just about printing the local package version, the availability of registry server shouldn't impact on {{appc -v}} command's performance.",Optimize appc -v command to use local cache,This subtask involves modifying the appc -v command to use the local cache instead of querying the registry server.,
CLI-842,Improve performance of appc -v command,"When the registry server is not reachable, or slow to respond, then {{appc -v}} command takes a long time to execute, and print package's version. Since it is just about printing the local package version, the availability of registry server shouldn't impact on {{appc -v}} command's performance.",Test appc -v command with local cache,This subtask involves testing the appc -v command with the local cache to ensure it works as expected.,
CLI-842,Improve performance of appc -v command,"When the registry server is not reachable, or slow to respond, then {{appc -v}} command takes a long time to execute, and print package's version. Since it is just about printing the local package version, the availability of registry server shouldn't impact on {{appc -v}} command's performance.",Refactor appc -v command to handle registry server errors,This subtask involves refactoring the appc -v command to handle errors when the registry server is not reachable or slow to respond.,
DM-3551,Attend SciPy 2015 tutorials,"Attend the tutorials at SciPy 2015 (July 6-7, 2015) in order to get hands-on experience with current scientific data analysis tools in the Python environment.    Planned attendance:   * Introduction to NumPy  * Building Python Data Applications with Blaze and Bokeh  * Efficient Python for High-Performance Parallel Computing  * Jupyter Advanced Topics Tutorial",Introduction to NumPy,This subtask involves attending a single tutorial and requires basic understanding of NumPy.,
