issue_key,project,issue_type,title,description,actual_story_points,predicted_story_points,confidence,complex_flag,subtask_count,subtask_points_sum,subtask_titles,subtasks_json,reasoning,source
DM-4824,Lsstcorp Data management,Story,Clean up div and css layout on FitsDownloadDialog,FitsDownload dialogs html and css is not quite right. Needs some clean up.,1,2,0.7,False,0,0,,[],"The ticket requires cleaning up the HTML and CSS layout of the FitsDownloadDialog, which is a relatively small scope. However, the description is vague and does not provide specific details about the changes needed. The integration surface is limited to the FitsDownloadDialog, which reduces the complexity. The estimate is based on the assumption that the changes will be minor and localized.",llm:llama-3.3-70b-versatile
DM-22155,Lsstcorp Data management,Story,MTVMS_Telemetry.xml does not conform to Topic Naming Conventions,"After updating the XML tests, it was found that the MTVMS_Telemetry.xml file defines three topics that do not conform to naming standards as defined in    [SAL_Recommendations|https://ts-xml.lsst.io/sal_constraints_and_recommendations.html] page.    The topics MTVMS_M1M3, MTVMS_TMA and MTVMS_M2 should be renamed to MTVMS_m1m3, MTVMS_tma (or MTVMS_mtmount) and MTVMS_m2, respectively.",1,2,0.8,False,0,0,,[],"The task involves renaming three topics in the MTVMS_Telemetry.xml file to conform to naming standards. The scope is well-defined and the changes are straightforward. However, there may be unknowns related to potential dependencies or downstream effects of the renaming.",llm:llama-3.3-70b-versatile
EVG-9322,The MongoDB Engineering,Task,add csv to gimlet,nan,1,2,0.2,False,0,0,,[],"The ticket description is empty, making it difficult to determine the scope of work. The title suggests adding CSV functionality to Gimlet, but without further details, it's hard to estimate the complexity. The estimate is low due to the lack of information.",llm:llama-3.3-70b-versatile
MXNET-1039,Apache MXNet,Sub-task,Scala Benchmark CLIParser,nan,1,2,0.2,False,0,0,,[],"The ticket description is empty, making it difficult to determine the scope of work. Due to the lack of information, the estimate is highly uncertain. The title suggests a potential focus on the Scala Benchmark CLIParser, but without further details, it's hard to provide a more accurate estimate.",llm:llama-3.3-70b-versatile
EVG-13238,The MongoDB Engineering,Task,Upload the agent binaries to S3,"Currently, just the tarballs are put in S3. We should also upload all the evergreen binaries for each platform into S3 so it can be downloaded during host provisioning.",1,2,0.8,False,0,0,,[],"The task involves uploading additional files to S3, which is a relatively straightforward process. However, the scope of the task is somewhat limited by the lack of detail on the specific platforms and binaries that need to be uploaded. The integration surface is also relatively small, as it only involves S3. The main unknown is the potential complexity of handling different platforms and binaries.",llm:llama-3.3-70b-versatile
MULE-14234,Mule,Task,Upgrade commons-text,Upgrade commons-text to the latest version that doesn't break backwards compatibility,2,2,0.8,False,0,0,,[],"The task involves upgrading a single dependency, which is a relatively straightforward process. However, ensuring backwards compatibility may require some verification and testing. The scope is well-defined, but there could be unknowns related to potential changes in the dependency's API.",llm:llama-3.3-70b-versatile
EVG-12564,The MongoDB Engineering,Task,Prefrences page: Hook up the pencil action button in the Public Keys table,Prefrences page: Hook up the pencil action button in the Public Keys table to edit the public key. Clicking on the key should open a component to edit the key (needs design),2,5,0.7,False,0,0,,[],"The task involves hooking up a button to open an edit component, which is a relatively straightforward task. However, the description mentions that the design for the edit component is needed, which introduces some uncertainty. The scope is limited to a single table and button, but the integration with the edit component may add some complexity.",llm:llama-3.3-70b-versatile
DNN-10681,DotNetNuke Platform,Bug,"Prompt: Across-portal scripting: """"list-pages"""" always listing pages for the main site even with a remote site id Or with the portal-Id specified not for an existing portal","*+Steps:+*  #Login as host to DNN_Platform_9.2.0.299-624.  # From PB, content> pages, create new page under this main site.  # From PB, go to manage > sites, add new site """"""""site2"""""""".  # Notice that the new site's id =1  # Using fiddler, fill the headers and try to execute this: Put """"""""/API/PersonaBar/Command/Cmd/1/"""""""" with this body: {""""""""cmdLine"""""""":""""""""list-pages""""""""}  # Notice the resulting pages.  # Repeat the same with""""""""POST """"""""/API/PersonaBar/Command/Cmd/2/"""""""" with this body: {""""""""cmdLine"""""""":""""""""list-pages""""""""}"""""""".  Where there is no portal with id=2.    *+Results:+*  - In both cases you get the list of pages for the main site.    *+Expected:+*  - Using the API with the portal Id for site 2 should give me the results from site 2.  - Using the API with portal id invalid, should not get me results (This is the current behavior for other commands and there is a bug DNN-10676 for it as it doesn't generate error)   !image-2018-01-11-10-14-13-368.png|thumbnail!    !image-2018-01-11-10-14-25-879.png|thumbnail!    !image-2018-01-11-10-14-33-841.png|thumbnail!",2,5,0.8,False,0,0,,[],"The ticket involves fixing an API issue with across-portal scripting, specifically with the 'list-pages' command. The scope is relatively contained, but there are unknowns around the integration with the PersonaBar and site management. The fix may require changes to the API endpoint or the underlying data retrieval logic.",llm:llama-3.3-70b-versatile
DM-12806,Lsstcorp Data management,Story,Implement GSL upgrade to 2.4,Implements RFC-418.,2,8,0.7,True,4,8,Upgrade GSL dependencies | Implement RFC-418 changes | Test and validate the upgrade | Integrate with existing systems,"[{""title"": ""Upgrade GSL dependencies"", ""story_points"": 2, ""reasoning"": ""This task involves updating dependencies to be compatible with GSL 2.4.""}, {""title"": ""Implement RFC-418 changes"", ""story_points"": 3, ""reasoning"": ""This task requires implementing the specific changes outlined in the RFC.""}, {""title"": ""Test and validate the upgrade"", ""story_points"": 2, ""reasoning"": ""This task involves verifying that the upgrade does not introduce any issues or regressions.""}, {""title"": ""Integrate with existing systems"", ""story_points"": 1, ""reasoning"": ""This task requires ensuring that the upgraded GSL works seamlessly with other components.""}]","The ticket implements a specific RFC, which provides a clear scope. However, the complexity of the upgrade and potential integration issues with other systems are unknown. The upgrade to GSL 2.4 may require significant changes, affecting the estimate. The confidence is moderate due to the lack of detailed information about the implementation.",llm:llama-3.3-70b-versatile
EVG-8079,The MongoDB Engineering,Task,Add ability to reset api key for authentication card in cli tab,nan,2,2,0.6,False,0,0,,[],"The task seems straightforward, but the description is empty, which lowers confidence. The scope appears to be limited to the CLI tab and authentication card. However, without more details, it's difficult to provide a precise estimate.",llm:llama-3.3-70b-versatile
MESOS-6246,Apache Mesos,Bug,Libprocess links will not generate an ExitedEvent if the socket creation fails,"Noticed this while inspecting nearby code for potential races.  Normally, when a libprocess actor (the """"""""linkee"""""""") links to a remote process, it does the following: 1) Create a socket. 2) Connect to the remote process (asynchronous). 3) Check the connection succeeded.  If (2) or (3) fail, the linkee will receive a {{ExitedEvent}}, which indicates that the link broke.  In case (1) fails, there is no {{ExitedEvent}}: https://github.com/apache/mesos/blob/7c833abbec9c9e4eb51d67f7a8e7a8d0870825f8/3rdparty/libprocess/src/process.cpp#L1558-L1562",2,5,0.8,False,0,0,,[],"The ticket involves fixing a specific issue in libprocess where ExitedEvent is not generated when socket creation fails. The scope is relatively contained, but the integration surface with the remote process and the asynchronous connection may add complexity. The provided code reference helps to narrow down the affected area.",llm:llama-3.3-70b-versatile
EVG-7631,The MongoDB Engineering,New Feature,Patch page: map patch task status & base status to corresponding badge color,The status and base status columns in the patch tasks table should show badges that correspond to the status color    Will require putting new tasks in DB for patch that cover all available patch statuses    [https://mongodb.invisionapp.com/d/main/?redirHash=#/console/19479418/408295791/preview?scrollOffset=229],2,5,0.8,False,0,0,,[],"The ticket requires mapping patch task status and base status to corresponding badge colors, which involves updating the UI and potentially the database. The scope is relatively well-defined, but there may be unknowns related to the database updates and integration with existing systems. The provided design preview helps to clarify the requirements.",llm:llama-3.3-70b-versatile
MULE-13876,Mule,Bug,MetadataKeyIdModelProperty NotExportedClassException on Tooling Client when loading extension model,nan,2,5,0.6,False,0,0,,[],"The ticket describes a specific exception, NotExportedClassException, which suggests a clear issue to investigate. However, the lack of description and context about the extension model and Tooling Client makes it difficult to estimate with high confidence. The exception could be related to a simple configuration issue or a more complex problem with the model loading mechanism.",llm:llama-3.3-70b-versatile
EVG-2684,The MongoDB Engineering,Task,Add the rest of the components,nan,2,1,0.0,False,0,0,,[],"The ticket description is empty, providing no information about the scope or requirements of the task. Therefore, it's impossible to make an accurate estimate. The low story point estimate is a placeholder, reflecting the complete lack of detail.",llm:llama-3.3-70b-versatile
EVG-5893,The MongoDB Engineering,Improvement,Performance Baron list should have links on the test column,"For example the following image should link to [here|https://evergreen.mongodb.com/task/performance_linux_wt_standalone_agg_query_comparison_04882fa7f5210cfb14918ecddbbc5acbd88e86b6_19_02_21_01_49_10##%257B%2522hiddenGraphs%2522%253A%255B%2522Aggregation.IntNonIdFindOneProjectionCovered%2522%252C%2522Aggregation.UnindexedLargeInUnsortedNonMatching%2522%252C%2522Aggregation.UnindexedLargeInNonMatching%2522%252C%2522Aggregation.UnindexedVeryLargeInUnsortedMatching%2522%252C%2522Aggregation.UnindexedVeryLargeInSortedMatching%2522%252C%2522Aggregation.UnindexedLargeInUnsortedMatching%2522%252C%2522Aggregation.UnindexedLargeInMatching%2522%252C%2522Aggregation.StringUnindexedInPredWithSimpleCollation%2522%252C%2522Aggregation.StringUnindexedInPredWithNonSimpleCollation%2522%252C%2522Aggregation.TwoInts%2522%252C%2522Aggregation.RegexPrefixFindOne%2522%252C%2522Aggregation.IntIDRange%2522%252C%2522Aggregation.IntNonIdFindOne%2522%252C%2522Aggregation.IntIdFindOne%2522%252C%2522Aggregation.Empty%2522%252C%2522Aggregation.NoMatch%2522%252C%2522Aggregation.DistinctWithoutIndexAndQuery%2522%252C%2522Aggregation.DistinctWithoutIndex%2522%252C%2522Aggregation.DistinctWithIndexAndQuery%2522%252C%2522Aggregation.DistinctWithIndex%2522%252C%2522Aggregation.CountsIntIDRange%2522%252C%2522Aggregation.CountsFullCollection%2522%252C%2522Aggregation.IntNonIdFindProjectionCovered%2522%252C%2522Aggregation.FindProjection%2522%252C%2522Aggregation.FindWideDocProjection%2522%252C%2522Aggregation.FindProjectionThreeFieldsCovered%2522%252C%2522Aggregation.FindProjectionThreeFields%2522%252C%2522Aggregation.FindProjectionDottedField%2522%252C%2522Aggregation.FindProjectionDottedField.Indexed%2522%255D%257D]      !image-2019-03-01-13-44-16-480.png|width=90%!    In this case there is only a single change point, when there are multiple change points / task, it should show all change point tests and hide the rest.",2,5,0.8,False,0,0,,[],"The ticket requires adding links to the test column in the Performance Baron list, which involves modifying the existing UI and potentially integrating with the Evergreen task system. The scope is relatively well-defined, but there may be unknowns related to the implementation details and potential edge cases. The integration surface is moderate, as it involves linking to external tasks.",llm:llama-3.3-70b-versatile
DM-19055,Lsstcorp Data management,Story,Pack and Ship,nan,2,1,0.0,False,0,0,,[],"The ticket description is empty, providing no information about the scope or requirements of the task. Therefore, a low estimate is given with very low confidence. Further discussion is needed to accurately estimate this ticket.",llm:llama-3.3-70b-versatile
MESOS-3211,Apache Mesos,Story,As a Python developer I want a simple way to obtain information about Master from ZooKeeper,"With the new JSON {{MasterInfo}} published to ZK, we want to provide a simple library class for Python developers to retrieve info about the masters and the leader.",2,5,0.8,False,0,0,,[],"The ticket requires creating a Python library class to retrieve Master information from ZooKeeper, which involves parsing JSON data and handling potential ZooKeeper connections. The scope is relatively contained, but there may be unknowns around error handling and edge cases. The integration surface is limited to the ZooKeeper API and the MasterInfo JSON format.",llm:llama-3.3-70b-versatile
MESOS-3006,Apache Mesos,Task,Add cgroups memory stats API,"cgroups API current does expose """"""""stats"""""""" from the memory namespace. Having this API would enable isolators to use its various fields(eg. rss, rss_huge, writeback etc) in use cases like usage metrics.",2,5,0.8,False,0,0,,[],"The task involves adding a new API to expose cgroups memory stats, which requires understanding of the existing cgroups API and the memory namespace. The scope is relatively well-defined, but there may be unknowns related to integration with isolators and handling of edge cases. The complexity of the task is moderate, given the need to work with low-level system resources.",llm:llama-3.3-70b-versatile
MULE-13435,Mule,Bug,DataSense medatadata fails when the application is running,Description   The metadata generation fails when the application is running.    Steps to reproduce   1- Create an application with a single flow with a listener and a logger.   2- Run the application.   3- Go to the listener configuration and then just click OK to trigger the metadata calculation.   4- An error message will appear saying that it can't start the application because the address is already in use.,2,5,0.8,False,0,0,,[],"The issue seems to be related to the DataSense metadata generation conflicting with the running application. The steps to reproduce are clear, but the root cause and required fix are unknown. The integration surface appears to be limited to the listener configuration and metadata calculation.",llm:llama-3.3-70b-versatile
DM-10441,Lsstcorp Data management,Bug,Image cutout is off the center when size specified in Ang degrees.,"Following update from DM-10364, <USER>reported seeing cutout images (calexp) is off the center.  Further diagnosis revealed it's only the case when the cutout size is specified in Ang Degrees, not by 'pixel'.",2,5,0.8,False,0,0,,[],"The issue is specific to cutout size specified in Ang Degrees, which suggests a unit conversion or coordinate system issue. The problem is reproducible and has been diagnosed, but the root cause may require some investigation. The fix is likely to be contained within a single subsystem.",llm:llama-3.3-70b-versatile
MXNET-399,Apache MXNet,Sub-task,elemwise_mul between dense and csr on CPU & GPU,nan,3,5,0.6,False,0,0,,[],The task involves implementing elemwise_mul operation between dense and csr matrices on both CPU and GPU. The scope seems well-defined but the lack of description raises uncertainty. The integration surface includes matrix operations and potentially multiple hardware platforms.,llm:llama-3.3-70b-versatile
MESOS-3153,Apache Mesos,Bug,Add tests for HTTPS SSL socket communication,"Unit tests are lacking for the following cases:  1. HTTPS Post with """"""""None"""""""" payload.  2. Verification of HTTPS payload on the SSL socket(maybe decode to a Request object) 3. http -> ssl socket 4. https -> raw socket.",3,5,0.7,False,0,0,,[],"The ticket requires adding unit tests for specific HTTPS and SSL socket communication cases. The scope is well-defined, but the complexity of implementing these tests, especially the verification of HTTPS payload on the SSL socket, may vary. The integration surface with existing test frameworks and SSL libraries could also impact the effort required.",llm:llama-3.3-70b-versatile
MESOS-3960,Apache Mesos,Improvement,Standardize quota endpoints,"To be consistent with other operator endpoints, require a single JSON object in the request as opposed to key-value pairs encoded in a string.",3,5,0.8,False,0,0,,[],"The ticket involves modifying the quota endpoints to accept a single JSON object, which is a well-defined task. However, the scope of the change and potential impact on existing integrations are not fully clear. The integration surface is relatively contained, but there may be unknowns related to backwards compatibility. The change is likely to be self-contained within the quota endpoint code.",llm:llama-3.3-70b-versatile
APSTUD-8499,Aptana Studio,Bug,Problem to configure SMTP on CLOUD API,"HI, I am trying to send emails from some custom form, I have already created the code in my project. After that, I went to my dashboard in order to create an email template. I have already done that. But when I try to configure the SMTP settings. I always receive a msg. """"""""The SMTP Settings are not valid""""""""  I use a gmail account with 2FA because a technician online in your website recommendend it.  The account that I try to configure is:  <EMAIL>  pass: netgmail1313  Server: smtp.gmail.com  Port: 587  Autentication: Plain  Use default sender: No  Test mode: disabled  TLS: enabled    Also I have tried all the combinations as possible there.    Please help me  My account is <EMAIL> in Appcelerator",3,5,0.7,False,0,0,,[],"The ticket involves troubleshooting SMTP configuration issues, which can be complex due to the involvement of external services like Gmail. The user has already tried various combinations, and the issue may require investigation into Appcelerator's integration with Gmail's 2FA. The scope is relatively contained, but unknowns around the specific error and potential workarounds contribute to moderate confidence.",llm:llama-3.3-70b-versatile
USERGRID-414,Apache Usergrid,Story,Set Build Version to Java 8,"We're significantly behind our in our RX java implementation.  Before work on the EM/RM refactor work starts, we should upgrade to Java 8 to clean up our functional syntax, as well as upgrade to the latest RxJava for performance improvements.   We should evaluate missing functions we use in RX as Java 8 streams.  If we can re-create our operations as Java 8 streams, we should evaluate the performance of RX Java vs Java 8 streams, and pick the most performant solution.",3,8,0.7,True,4,10,Upgrade project to Java 8 | Evaluate RxJava usage and replace with Java 8 streams where possible | Compare performance of RxJava and Java 8 streams | Refactor code to use the most performant solution,"[{""title"": ""Upgrade project to Java 8"", ""story_points"": 2, ""reasoning"": ""This task involves updating the project configuration and dependencies to support Java 8.""}, {""title"": ""Evaluate RxJava usage and replace with Java 8 streams where possible"", ""story_points"": 3, ""reasoning"": ""This task requires analyzing the current RxJava implementation and identifying opportunities to replace it with Java 8 streams.""}, {""title"": ""Compare performance of RxJava and Java 8 streams"", ""story_points"": 2, ""reasoning"": ""This task involves creating benchmarks to compare the performance of RxJava and Java 8 streams in the specific use cases.""}, {""title"": ""Refactor code to use the most performant solution"", ""story_points"": 3, ""reasoning"": ""This task involves refactoring the existing code to use the most performant solution, which may require significant changes.""}]","The ticket involves upgrading to Java 8 and evaluating the use of Java 8 streams versus RxJava, which requires significant analysis and potential code changes. The scope includes assessing performance improvements and refactoring existing code. However, the description lacks specific details on the current implementation and the extent of the changes required.",llm:llama-3.3-70b-versatile
DATACASS-220,Spring DataCass,Improvement,Upgrade to latest Cassandra driver,nan,3,5,0.6,True,3,5,Research and download latest Cassandra driver | Update dependencies and configure new driver | Test and troubleshoot integration with existing code,"[{""title"": ""Research and download latest Cassandra driver"", ""story_points"": 1, ""reasoning"": ""This task involves finding and downloading the latest driver version.""}, {""title"": ""Update dependencies and configure new driver"", ""story_points"": 2, ""reasoning"": ""This task requires updating project dependencies and configuring the new driver.""}, {""title"": ""Test and troubleshoot integration with existing code"", ""story_points"": 2, ""reasoning"": ""This task involves testing the new driver with existing code and resolving any issues that arise.""}]","The ticket involves upgrading to the latest Cassandra driver, which may require changes to existing code and potential troubleshooting. The scope of the work is unclear, and the integration surface with other components is unknown. The complexity of the upgrade process and potential backwards compatibility issues contribute to the moderate confidence level.",llm:llama-3.3-70b-versatile
DM-24224,Lsstcorp Data management,Story,Reorganize ts_standardscripts,"With the evolution of the classes we use in ts_standardscript, it became clear that they would need a place of their own, instead of cohabitating with the scripts itself. This task is to move those classes out of ts_standardscripts into a new ts_observatory_control repository.",3,8,0.7,True,4,8,Create new ts_observatory_control repository | Move classes out of ts_standardscripts | Update ts_standardscripts to use new repository | Verify integration and test,"[{""title"": ""Create new ts_observatory_control repository"", ""story_points"": 2, ""reasoning"": ""This involves setting up a new repository and initial commit of the moved classes.""}, {""title"": ""Move classes out of ts_standardscripts"", ""story_points"": 3, ""reasoning"": ""This requires careful extraction of the classes and updating of relevant imports and dependencies.""}, {""title"": ""Update ts_standardscripts to use new repository"", ""story_points"": 2, ""reasoning"": ""This involves updating the scripts to import the moved classes from the new repository.""}, {""title"": ""Verify integration and test"", ""story_points"": 1, ""reasoning"": ""This involves ensuring that the changes do not break existing functionality and that the new repository is correctly integrated.""}]","The task involves moving classes out of ts_standardscripts into a new repository, which requires understanding of the current code structure and potential integration points. The scope seems well-defined, but there may be unknowns related to dependencies and potential refactorings. The integration surface is moderate, as it involves creating a new repository and updating existing code.",llm:llama-3.3-70b-versatile
